unix,date,symbol,open,high,low,close,Volume ETC,Volume USD,Index
1566172800,8/19/2019,ETC/USD,5.5729999999999995,5.662999999999999,5.439,5.551,593605.2,107012.55,387
1566086400,8/18/2019,ETC/USD,5.46,5.672999999999999,5.42,5.5729999999999995,523284.71,93594.88,388
1566000000,8/17/2019,ETC/USD,5.54,5.55,5.4,5.46,398414.31,72665.13,389
1565913600,8/16/2019,ETC/USD,5.64,5.645,5.437,5.54,646320.09,116858.77,390
1565827200,8/15/2019,ETC/USD,5.5760000000000005,5.8,5.2860000000000005,5.64,1295225.39,232466.5,391
1565740800,8/14/2019,ETC/USD,6.021,6.164,5.46,5.5760000000000005,1502355.6,257831.8,392
1565654400,8/13/2019,ETC/USD,5.7860000000000005,6.279,5.74,6.021,1890200.88,322965.41,393
1565568000,8/12/2019,ETC/USD,5.837999999999999,5.982,5.676,5.7860000000000005,787408.88,136167.29,394
1565481600,8/11/2019,ETC/USD,5.636,5.8839999999999995,5.636,5.837999999999999,1181893.83,204588.26,395
1565395200,8/10/2019,ETC/USD,5.801,5.895,5.523,5.636,1372729.78,240857.28,396
1565308800,8/9/2019,ETC/USD,5.989,6.023,5.721,5.801,611300.52,104752.86,397
1565222400,8/8/2019,ETC/USD,5.899,6.188,5.867999999999999,5.989,1152281.44,192183.29,398
1565136000,8/7/2019,ETC/USD,5.867999999999999,6.016,5.812,5.899,858036.54,145454.84,399
1565049600,8/6/2019,ETC/USD,6.169,6.242999999999999,5.79,5.867999999999999,1082759.93,179856.61,400
1564963200,8/5/2019,ETC/USD,6.117999999999999,6.35,6.117999999999999,6.169,1350403.5,217337.26,401
1564876800,8/4/2019,ETC/USD,5.885,6.17,5.83,6.117999999999999,1195577.51,197452.68,402
1564790400,8/3/2019,ETC/USD,5.882000000000001,5.98,5.843999999999999,5.885,580125.73,98214.1,403
1564704000,8/2/2019,ETC/USD,5.971,6.015,5.797999999999999,5.882000000000001,691479.01,117268.45,404
1564617600,8/1/2019,ETC/USD,6.0520000000000005,6.08,5.832000000000001,5.971,895489.53,150569.91,405
1564531200,7/31/2019,ETC/USD,5.934,6.099,5.8,6.0520000000000005,1132335.2,189748.6,406
1564444800,7/30/2019,ETC/USD,5.93,5.999,5.794,5.934,760735.38,128660.27,407
1564358400,7/29/2019,ETC/USD,5.898,6.087000000000001,5.832999999999999,5.93,1003829.19,168964.11,408
1564272000,7/28/2019,ETC/USD,5.943,6.007000000000001,5.551,5.898,1122062.24,191224.8,409
1564185600,7/27/2019,ETC/USD,6.209,6.337000000000001,5.77,5.943,1530300.84,256478.14,410
1564099200,7/26/2019,ETC/USD,6.002999999999999,6.242999999999999,5.895,6.209,703279.55,115312.32,411
1564012800,7/25/2019,ETC/USD,6.098,6.29,5.981,6.002999999999999,763928.18,124683.74,412
1563926400,7/24/2019,ETC/USD,6.001,6.23,5.761,6.098,1415870.78,238138.03,413
1563840000,7/23/2019,ETC/USD,6.361000000000001,6.361000000000001,5.94,6.001,1212324.48,198674.47,414
1563753600,7/22/2019,ETC/USD,6.274,6.497999999999999,6.196000000000001,6.361000000000001,1563369.53,246642.0,415
1563667200,7/21/2019,ETC/USD,6.176,6.321000000000001,6.04,6.274,1043034.22,168672.6,416
1563580800,7/20/2019,ETC/USD,5.861000000000001,6.343999999999999,5.85,6.176,1381639.39,224758.5,417
1563494400,7/19/2019,ETC/USD,6.04,6.067,5.651,5.861000000000001,1342110.81,230923.96,418
1563408000,7/18/2019,ETC/USD,5.709,6.093999999999999,5.42,6.04,1943569.9,335340.62,419
1563321600,7/17/2019,ETC/USD,5.31,6.047999999999999,5.2410000000000005,5.709,1709773.43,305488.37,420
1563235200,7/16/2019,ETC/USD,5.857,6.127000000000001,5.18,5.31,3038706.05,539900.31,421
1563148800,7/15/2019,ETC/USD,5.699,6.25,5.159,5.857,3133763.11,558738.92,422
1563062400,7/14/2019,ETC/USD,6.63,6.65,5.551,5.699,2130778.71,357681.79,423
1562976000,7/13/2019,ETC/USD,6.792000000000001,6.809,6.377000000000001,6.63,1069855.01,162840.08,424
1562889600,7/12/2019,ETC/USD,6.632000000000001,6.859,6.507999999999999,6.792000000000001,1383678.91,205012.06,425
1562803200,7/11/2019,ETC/USD,7.2620000000000005,7.278,6.17,6.632000000000001,2609682.41,392826.12,426
1562716800,7/10/2019,ETC/USD,7.9,7.945,6.99,7.2620000000000005,2401526.0,323509.17,427
1562630400,7/9/2019,ETC/USD,8.047,8.13,7.74,7.9,1895840.44,239533.71,428
1562544000,7/8/2019,ETC/USD,7.995,8.048,7.874,8.047,833840.92,104690.86,429
1562457600,7/7/2019,ETC/USD,7.824,8.011000000000001,7.739,7.995,656667.16,83240.36,430
1562371200,7/6/2019,ETC/USD,7.861000000000001,8.02,7.75,7.824,926496.52,117551.7,431
1562284800,7/5/2019,ETC/USD,7.73,7.934,7.61,7.861000000000001,790726.93,101671.64,432
1562198400,7/4/2019,ETC/USD,7.8629999999999995,8.19,7.6770000000000005,7.73,1663053.53,209826.6,433
1562112000,7/3/2019,ETC/USD,7.695,7.909,7.631,7.8629999999999995,976618.86,125573.57,434
1562025600,7/2/2019,ETC/USD,7.815,7.865,7.2989999999999995,7.695,1808805.5,239351.74,435
1561939200,7/1/2019,ETC/USD,7.765,7.997000000000001,7.2,7.815,2088253.27,275215.59,436
1561852800,6/30/2019,ETC/USD,8.247,8.669,7.65,7.765,2996653.68,367803.99,437
1561766400,6/29/2019,ETC/USD,8.002,8.3,7.563,8.247,2011666.53,252793.82,438
1561680000,6/28/2019,ETC/USD,7.7,8.389,7.562,8.002,2517392.39,316964.9,439
1561593600,6/27/2019,ETC/USD,8.97,9.13,7.011,7.7,5599572.07,715312.28,440
1561507200,6/26/2019,ETC/USD,9.219,9.684,8.511000000000001,8.97,5568093.99,597258.91,441
1561420800,6/25/2019,ETC/USD,9.287,9.336,9.021,9.219,1631706.98,178050.85,442
1561334400,6/24/2019,ETC/USD,9.26,9.39,8.809,9.287,1885984.81,207014.94,443
1561248000,6/23/2019,ETC/USD,9.101,9.625,9.059,9.26,3331678.7,357747.85,444
1561161600,6/22/2019,ETC/USD,8.812000000000001,9.333,8.704,9.101,4172815.82,462241.71,445
1561075200,6/21/2019,ETC/USD,8.509,8.869,8.5,8.812000000000001,1995360.03,229979.42,446
1560988800,6/20/2019,ETC/USD,8.56,8.613,8.376,8.509,954844.52,112484.66,447
1560902400,6/19/2019,ETC/USD,8.45,8.674,8.442,8.56,905945.52,106279.54,448
1560816000,6/18/2019,ETC/USD,8.8,8.843,8.292,8.45,1813208.32,212966.73,449
1560729600,6/17/2019,ETC/USD,8.687000000000001,8.899,8.65,8.8,1926911.59,219686.73,450
1560643200,6/16/2019,ETC/USD,8.611,8.948,8.505,8.687000000000001,2997071.98,343629.84,451
